Title;Authors;Venue;Year;Library;I1;I2;I3;I4;I5;I6;E1;E2;E3;E4;Included
Adaptive web-based database communities;Athman Bouguettaya, Boualem Benatallah, Brahim Medjahed, Mourad Ouzzani, Lily Hendra;Information modeling for internet applications;2003  ;ACM;O;O;O;;;;;;;;
Addressing challenges of hazard analysis in systems of systems;"Despotou, G.; Alexander, R.; Kelly, T.";Systems Conference, 2009 3rd Annual IEEE;2009;IEEE ;O;O;O;;;;;;;;
Addressing Dynamic Contextual Adaptation with a Domain-Specific Language;"Fritsch, S.; Senart, A.; Clarke, S.";Software Engineering for Pervasive Computing Applications, Systems, and Environments, 2007. SEPCASE '07. First International Workshop on;2007;IEEE ;O;O;O;;;;;;;;
Addressing multi-domain integration challenge in robotics using model-based approach;Ramaswamy A., Monsuez B., Tapus A.;CEUR Workshop Proceedings;2014;Scopus;X;X;X;X;X;X;O;O;O;O;YES
Addressing systems verification of autonomous systems through Bi-directional model transformations: A systems model driven architecture approach;"Callow, G.; Kalawsky, R.; Watson, G.; Okuda, Y.";System of Systems Engineering (SoSE), 2011 6th International Conference on;2011;IEEE ;X;X;X;X;X;X;O;O;O;O;YES
Adopting MDE for Specifying and Executing Civilian Missions of Mobile Multi-Robot Systems;F. Ciccozzi D. Di Ruscio I. Malavolta P. Pelliccione;IEEE Access;2016;IEEE;X;X;X;X;X;X;O;O;O;O;YES
Adoption and Use of Mobile Learning in Higher Education: The UTAUT Model;Akinbode  Mosunmola and Agboola  Mayowa and Senanu  Okuboyejo and Chinenrim  Adeniji;IC4E '18;2018;ACM;No;;;;;;;;;;
Advanced KSOM Based Redundancy Resolution of a Mobile Manipulator System for Motion on an Uneven Terrain;Beteley  Teka and Hitesh  Jangid and Rekha  Raja and Ashish  Dutta;AIR '17;2017;ACM;No;;;;;;;;;;
Advanced M&S framework based on autonomous web service in Korea: Intelligent-XMSF approach;"Sohn MM;";Systems Modeling and Simulation: Theory and Applications;2005;WOS;O;O;O;;;;;;;;
Advances and Innovations in Systems, Computing Sciences and Software Engineering;[No author name available];Advances and Innovations in Systems, Computing Sciences and Software Engineering;2007;Scopus;;;;o;;;;;;;
Advances in Formal Methods for the Design of Analog/Mixed-Signal Systems: Invited;Vladimir  Dubikhin and Chris  Myers and Danil  Sokolov and Ioannis  Syranidis and Alex  Yakovlev;DAC '17;2017;ACM;NO;;;;;;;;;;
Adversarial blocking techniques for autonomous surface vehicles using model-predictive motion goal computation;G. E. Mullins S. K. Gupta;2015 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS);2015;IEEE;o;o;;;;;;;;;
Affective Grounding in Human-Robot Interaction;Malte F. Jung;HRI '17;2017;ACM;No;;;;;;;;;;
Agent Relation Charts (ARCs) for Modeling Cloud Based Transactions;"Nagrath, V.; Meriaudeau, F.; Malik, A.S.; Morel, Olivier";Communication Systems and Network Technologies (CSNT), 2012 International Conference on;2012;IEEE ;O;O;O;;;;;;;;
Agent Strategies for the Hide-and-Seek Game;Akshat  Tandon and Kamalakar  Karlapalem;AAMAS '18;2018;ACM;No;;;;;;;;;;
Agent-based Extensions for the UML Profile and Metamodel for Service-oriented Architectures;"Hahn, C.; Slomic, I.";Enterprise Distributed Object Computing Conference Workshops, 2008 12th;2008;IEEE ;O;O;O;;;;;;;;
Agent-based monitoring service for management of disruptive events in supply chains ;"FernÃ¡ndez, Erica; Toledo, Carlos M.; Galli, MarÃ­a R.; Salomone, Enrique & Chiotti, Omar";Computers in Industry ;2015;ScienceDirect;O;O;O;;;;;;;;
Agent-Based Simulation of Offender Mobility: Integrating Activity Nodes from Location-Based Social Networks;"Raquel  Ros&#233;s and Cristina  Kadar and Charlotte  Gerritsen and Chris  Rouly";AAMAS '18;2018;ACM;No;;;;;;;;;;
Agent-based System for Highway Gasoline Price Negotiations;"Sylwia  Nowak and Maria  Ganzha and Marcin  Paprzycki and Costin  B&#259;dic&#259; and Mirjana  Ivanovi&#263; and Sabin  Simionescu";BCI '17;2017;ACM;NO;;;;;;;;;;
Agent-oriented software engineering a model driven approach;"Fischer, Klaus and Hahn, Christian and Madrigal\&\#45;Mora, Cristian";International Journal of Agent-Oriented Software Engineering;2007;ACM;O;O;O;;;;;;;;
Agent-Oriented Software Engineering IX - 9th International Workshop, AOSE 2008 Revised Selected Papers;[No author name available];Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);2009;Scopus;;;;o;;;;;;;
Agent-Oriented Software Engineering XI - 11th International Workshop, AOSE 2010, Revised Selected Papers;[No author name available];Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);2011;Scopus;;;;o;;;;;;;
Agent-Oriented Software Engineering XIII - 13th International Workshop, AOSE 2012, Revised Selected Papers;[No author name available];Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);2013;Scopus;;;;o;;;;;;;
Agents in industry: the best from the AAMAS 2005 industry track;"Pechoucek, M.; Kok, K.; Warmer, C.; Kamphuis, R.; Maric, V.; Vrba, P.; Hall, K.H.; Maturana, F.P.; Dorer, K.; Calisti, M.";Intelligent Systems, IEEE;2006;IEEE ;O;O;O;;;;;;;;
AI Can Help to Create a Humane Society: Cognition Amplifiers and Guardian Angels;Raj  Reddy;TURC '18;2018;ACM;No;;;;;;;;;;
AIM2 Drives Joint Inflammation in a Self-DNA Triggered Model of Chronic Polyarthritis;"Jakobs, Christopher; Perner, Sven; Hornung, Veit";J;2015;WOS;O;O;;;;;;;X;;
Air Quality Monitoring Platform Based on Remote Unmanned Aerial Vehicle with Wireless Communication;S. D. Zhi and Y. B. Wei and Z. H. Yu;ICFNDS '17;2017;ACM;No;;;;;;;;;;
AirSim-W: A Simulation Environment for Wildlife Conservation with UAVs;Elizabeth  Bondi and Debadeepta  Dey and Ashish  Kapoor and Jim  Piavis and Shital  Shah and Fei  Fang and Bistra  Dilkina and Robert  Hannaford and Arvind  Iyer and Lucas  Joppa and Milind  Tambe;COMPASS '18;2018;ACM;No;;;;;;;;;;
Algorithmic Performance-Accuracy Trade-off in 3D Vision Applications;"B. Bodin; L. Nardi; H. Wagstaff; P. H. J. Kelly; M. O'Boyle";2018 IEEE International Symposium on Performance Analysis of Systems and Software (ISPASS);2018;IEEE;NO;;;;;;;;;;
Algorithmic Performance-Accuracy Trade-off in 3D Vision Applications;Bodin B., Nardi L., Wagstaff H., Kelly P.H.J., O'Boyle M.;Proceedings - 2018 IEEE International Symposium on Performance Analysis of Systems and Software, ISPASS 2018;2018;SCOPUS;N;;;;;;;;;;
All Words Domain Adapted WSD: Finding a Middle Ground Between Supervision and Unsupervision;Khapra, Mitesh M. and Kulkarni, Anup and Sohoney, Saurabh and Bhattacharyya, Pushpak;Proceedings of the 48th Annual Meeting of the Association for Computational Linguistics;2010;ACM;O;O;O;;;;;;;;
Amazon Aurora: Design Considerations for High Throughput Cloud-Native Relational Databases;Alexandre  Verbitski and Anurag  Gupta and Debanjan  Saha and Murali  Brahmadesam and Kamal  Gupta and Raman  Mittal and Sailesh  Krishnamurthy and Sandor  Maurice and Tengiz  Kharatishvili and Xiaofeng  Bao;SIGMOD '17;2017;ACM;No;;;;;;;;;;
Ambient Assistive Health and Wellness Management in the Heart of the City - 7th International Conference on Smart Homes and Health Telematics, ICOST 2009, Proceedings;[No author name available];Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);2009;Scopus;;;;o;;;;;;;
AMDA: Matching the model-driven-architecture's goals using extended automata as a common model for design and execution;Dayan D., Kaplinsky R., Wiesen A., Bloch S.;Proceedings - IEEE International Conference on Software - Science, Technology and Engineering, SwSTE'07;2007;Scopus;o;;;;;;;;;;
Amelioration of cognitive deficits and neurodegeneration by curcumin in rat model of sporadic dementia of Alzheimer's type (SDAT) ;"Ishrat, Tauheed; Hoda, Md Nasrul; Khan, M. Badruzzaman; Yousuf, Seema; Ahmad, Muzamil; Khan, Mohd. Moshahid; Ahmad, Ajmal & Islam, Fakhrul";European Neuropsychopharmacology ;2009;ScienceDirect;;;;;;;;;X;;
AMIGO: Towards Social Robot Based Motivation for Playful Multimodal Intervention in Dementia;"Lucas  Paletta and Maria  Fellner and Sandra  Sch&#252;ssler and Julia  Zuschnegg and Josef  Steiner and Alexander  Lerch and Lara  Lammer and Dimitrios  Prodromou";PETRA '18;2018;ACM;NO;;;;;;;;;;
An Actor Based Architecture For Multi-Robot System With Application To Warehouse;Aniruddha  Singhal and Harsh Vardhan Singh and Aarathi  Penumatsa and Nakul  Bhatt and Prakash  Ambwani and Swagat  Kumar and Rajesh  Sinha;IoPARTS'18;2018;ACM;No;;;;;;;;;;
An adaptive longitudinal control method for autonomous follow driving based on neural dynamic programming and internal model structure;"Zhu, Qi; Dai, Bin; Huang, Zhenhua; Sun, Zhenping; Liu, Daxue";INTERNATIONAL JOURNAL OF ADVANCED ROBOTIC SYSTEMS;2017;WOS;N;;;;;;;;;;
An adaptive middleware approach for fault-tolerant avionic systems;O. Marquardt M. Riedlinger R. Ahmadi R. Reichel;2015 IEEE Aerospace Conference;2015;IEEE;o;o;;;;;;;;;
An agent based meta-model for urban mobility modeling;Marilleau, N.;Distributed Frameworks for Multimedia Applications, 2005. DFMA '05. First International Conference on;2005;IEEE ;O;O;O;;;;;;;;
An agent-based platform for traffic simulation;Fernandez-Isabel A., Fuentes-Fernandez R.;Advances in Intelligent and Soft Computing;2011;Scopus;o;;;;;;;;;;
An Agent-Based, Model-Driven Approach for Enabling Interoperability in the Area of Multi-brand Vehicle Configuration;Ingo Zinnikus, Christian Hahn, Michael Klein, Klaus Fischer;Proceedings of the 5th international conference on Service-Oriented Computing;2007;ACM;O;O;O;;;;;;;;
An agent-oriented approach for cyber-physical system with dependability features;Sanislav T., Miclea L.;2012 IEEE International Conference on Automation, Quality and Testing, Robotics, AQTR 2012 - Proceedings;2012;Scopus;o;;;;;;;;;;
An agile architecture for a legacy enterprise it system;Pang C.-Y.;Application Development and Design: Concepts, Methodologies, Tools, and Applications;2017;SCOPUS;N;;;;;;;;;;
An Application Framework for Forest Fire and Haze Detection with Data Acquisition Using Unmanned Aerial Vehicle;Md. Nazmus Saadat and Mohd Nizam Husen;IMCOM '18;2018;ACM;No;;;;;;;;;;
An Application of the Stereoscopic Self-similar-Expansion Model to the Determination of CME-Driven Shock Parameters;"Volpes, L.; Bothmer, V.";J;2015;WOS;O;O;;;;;;;X;;
An Approach Based on Social Network Analysis Applied to a Collaborative Learning Experience;I. Claros R. Cobos C. A. Collazos;IEEE Transactions on Learning Technologies;2016;IEEE;o;o;;;;;;;x;;
An approach on integrating models and textual specifications;Robinson-Mallett, C.L.;Model-Driven Requirements Engineering Workshop (MoDRE), 2012 IEEE;2012;IEEE ;O;O;O;;;;;;;;
An approach to detecting failures automatically;Jochen Wuttke;SOQUA '07: Fourth international workshop on Software quality assurance: in conjunction with the 6th ESEC/FSE joint meeting;2007  ;ACM;O;O;O;;;;;;;;
An approach to generating program code in quickly evolving environments;Ablonskis L.;Information Systems Development: Towards a Service Provision Society;2009;Scopus;;;;;;o;;;;;
An Approach to Model-Based Development of Context-Aware Adaptive Systems;"Hussein, M.; Han, J.; Colman, A.";Computer Software and Applications Conference (COMPSAC), 2011 IEEE 35th Annual;2011;IEEE ;O;O;O;;;;;;;;
An approach to perceiving the multi-meaningful-dotted pattern in a CBP image;Chen Y.-S., Wang M.-H.;IEICE Transactions on Information and Systems;2001;Scopus;o;;;;;;;;;;
An approach to SysML modeling of IEC 61131-3 control software;"Jamro, M.; Trybus, B.";Methods and Models in Automation and Robotics (MMAR), 2013 18th International Conference on;2013;IEEE ;O;O;O;;;;;;;;
An Approximate Throughput Evaluation of a Relay Function in Cooperative Multiple Robots System;Takuya  Sakakibara and Shigeo  Shioda and Tutomu  Murase;IMCOM '18;2018;ACM;NO;;;;;;;;;;
An Aspect-Oriented Approach for Dealing with Non-Functional Requirements in a Model-Driven Development of Distributed Embedded Real-Time Systems;"Wehrmeister, M.A.; Freitas, E.P.; Pereira, C.E.; Wagner, F.R.";Object and Component-Oriented Real-Time Distributed Computing, 2007. ISORC '07. 10th IEEE International Symposium on;2007;IEEE ;;;;;;;;;;;
An assembler and disassembler framework for Java programmers ;"Mathiske, Bernd; Simon, Doug & Ungar, Dave";Science of Computer Programming ;2008;ScienceDirect;O;O;O;;;;;;;;
An Asynchronous Distributed Constraint Optimization Approach to Multi-robot Path Planning with Complex Constraints;Alberto  Viseras and Valentina  Karolj and Luis  Merino;SAC '17;2017;ACM;NO;;;;;;;;;;
An Attraction Toward Engineering Careers: The Story of a Brooklyn Outreach Program for KuFFFD12 Students;"Abaid, N.; Kopman, V.; Porfiri, M.";Robotics & Automation Magazine, IEEE;2013;IEEE ;O;O;O;;;;;;;;
An Auto-Operated Telepresence System for the Nao Humanoid Robot;"Furler, L.; Nagrath, V.; Malik, A.S.; Meriaudeau, F.";Communication Systems and Network Technologies (CSNT), 2013 International Conference on;2013;IEEE ;o;o;o;;;;;;;;
An Autonomous and Dynamic Coordination and Discovery Service for Wide-Area Peer-to-peer Publish/Subscribe: Experience Paper;Kyoungho  An and Shweta  Khare and Aniruddha  Gokhale and Akram  Hakiri;DEBS '17;2017;ACM;No;;;;;;;;;;
An e-Coaching Ecosystem: Design and Effectiveness Analysis of the Engagement of Remote Coaching on Athletes;Ludovico  Boratto and Salvatore  Carta and Fabrizio  Mulas and Paolo  Pilloni;;2017;ACM;NO;;;;;;;;;;
An Edge-facilitated Message Broker for Scalable Device Discovery: Poster;Zhe  Huang and Bharath  Balasubramanian and Azzam  Alsudais and Kaustubh  Joshi;SEC '17;2017;ACM;NO;;;;;;;;;;
An efficient approach to designing mission-critical systems: Case study: Defensive Aid Suite (DAS) systems;"K. Houliotis; P. Oikonomidis; P. Charchalakis; E. Stipidis";2017 International Conference on Military Technologies (ICMT);2017;IEEE;NO;;;;;;;;;;
An electromyography-driven central pattern generator model for robotic control application;"Kui Xiang; Shuxiang Guo; Zhibin Song";Robotics and Biomimetics (ROBIO), 2012 IEEE International Conference on;2012;IEEE ;O;O;O;;;;;;;;
An EMF-based toolkit for creation of domain-specific data services;"Bender, Andreas; Bozic, Stefan; Kondov, Ivan";Model-Driven Engineering and Software Development (MODELSWARD), 2014 2nd International Conference on;2014;IEEE ;O;O;O;;;;;;;;
An Empirical Study on TensorFlow Program Bugs;Yuhao  Zhang and Yifan  Chen and Shing-Chi  Cheung and Yingfei  Xiong and Lu  Zhang;ISSTA 2018;2018;ACM;NO;;;;;;;;;;
An Energy-efficient UAV-based Data Aggregation Protocol in Wireless Sensor Networks;Qiyue  Wu and Peng  Sun and Azzedine  Boukerche;DIVANet'18;2018;ACM;No;;;;;;;;;;
An Evaluation of a Telepresence Robot: User Testing Among Older Adults with Mobility Impairment;Xian  Wu and Rebecca  Thomas and Emma  Drobina and Tracy  Mitzner and Jenay  Beer;HRI '17;2017;ACM;NO;;;;;;;;;;
An Evaluation of the Chandy-Misra-Bryant Algorithm for Digital Logic Simulation;Soulé, Larry and Gupta, Anoop;ACM Transactions on Modeling and Computer Simulation (TOMACS) - Special issue on parallel and distributed systems performance;1991;ACM;;;;;;;;;;X;
An evolutionary behavioral model for decision making;Oscar Javier Romero López;Adaptive Behavior - Animals, Animats, Software Agents, Robots, Adaptive Systems;2011  ;WOS;O;O;O;;;;;;;;
An Evolutionary Graph-Based Approach for Managing Self-Organized IoT Networks;Yara  Mahfood Haddad and Hesham H. Ali;MobiWac '17;2017;ACM;No;;;;;;;;;;
An Exploratory Case Study to Understand Primary Care Users and Their Data Quality Tradeoffs;Justin  St-Maurice and Catherine  Burns;;2017;ACM;NO;;;;;;;;;;
An Exploratory Study on the Relationship Between Changes and Refactoring;Fabio  Palomba and Andy  Zaidman and Rocco  Oliveto and Andrea  De Lucia;ICPC '17;2017;ACM;NO;;;;;;;;;;
An extended car-following model with consideration of the electric vehicle's driving range;"Tang, Tie-Qiao; Chen, Liang; Yang, Shi-Chun; Shang, Hua-Yan";J;2015;WOS;O;O;;;;;;;X;;
An extended systematic literature review on provision of evidence for safety certification ;"Nair, Sunil; de la Vara, Jose Luis; Sabetzadeh, Mehrdad & Briand, Lionel";Information and Software Technology ;2014;ScienceDirect;;;;;;;X;;;;
An HMM-Based Algorithm for Vehicle Detection in Congested Traffic Situations;"Ming Yin; Hao Zhang; Huadong Meng; Xiqin Wang";Intelligent Transportation Systems Conference, 2007. ITSC 2007. IEEE;2007;IEEE ;O;O;O;;;;;;;;
An imperative language of self-modifying graphs for biological systems;Priami C., Quaglia P., Zunino R.;Proceedings of the ACM Symposium on Applied Computing;2012;Scopus;o;;;;;;;;;;
An Improved Hierarchical Kriging for Variable-Fidelity Surrogate Modeling;J. Hu Q. Zhou P. Jiang T. Xie;2016 International Conference on Cybernetics, Robotics and Control (CRC);2016;IEEE;o;o;;;;;;;;;
An Improved Hierarchical Kriging for Variable-Fidelity Surrogate Modeling;Hu J., Zhou Q., Jiang P., Xie T.;Proceedings - 2016 International Conference on Cybernetics, Robotics and Control, CRC 2016;2017;SCOPUS;N;;;;;;;;;;
An Improved Security Architecture for an InterCloud Reference Model;"C. Ghazel; Y. Abassi; L. Saidane";2017 European Conference on Electrical Engineering and Computer Science (EECS);2017;IEEE;NO;;;;;;;;;;
An improved security architecture for an intercloud reference model;Ghazel C., Abassi Y., Saidane L.;Proceedings - 2017 European Conference on Electrical Engineering and Computer Science, EECS 2017;2018;SCOPUS;N;;;;;;;;;;
An Imputation-based Augmented Anomaly Detection from Large Traces of Operating System Events;Mellitus  Ezeme and Akramul  Azim and Qusay H. Mahmoud;BDCAT '17;2017;ACM;NO;;;;;;;;;;
An Integrated Approach for Resilience in Industrial Control Systems;"J. Iber; T. Rauter; M. Krisper; C. Kreiner";2017 47th Annual IEEE/IFIP International Conference on Dependable Systems and Networks Workshops (DSN-W);2017;IEEE;NO;;;;;;;;;;
An Integrated Approach for Resilience in Industrial Control Systems;Iber J., Rauter T., Krisper M., Kreiner C.;Proceedings - 47th Annual IEEE/IFIP International Conference on Dependable Systems and Networks Workshops, DSN-W 2017;2017;SCOPUS;N;;;;;;;;;;
An Integrated Eclipse Plug-In for Engineering and Implementing Self-Adaptive Systems;"Abeywickrama, D.B.; Hoch, N.; Zambonelli, F.";WETICE Conference (WETICE), 2014 IEEE 23rd International;2014;IEEE ;O;O;O;;;;;;;;
An intelligent authoring model for subsidiary legislation and regulatory instrument drafting within construction and engineering industry ;McGibbney, Lewis John & Kumar, Bimal;Automation in Construction ;2013;ScienceDirect;O;O;O;;;;;;;;
An intelligent identification method of vehicle driving cycle based on LVQ model;"Wang, Yuefei; Zhang, Nan; Xia, Jingbao; Liu, Baijun; Wu, Yuan";2017 10TH INTERNATIONAL SYMPOSIUM ON COMPUTATIONAL INTELLIGENCE AND DESIGN (ISCID), VOL 2;2017;WOS;N;;;;;;;;;;
An Interactive Model-Driven Path Planning and Data Capture System for Camera-Equipped Aerial Robots on Construction Sites;"Ibrahim, Amir; Roberts, Dominic; Golparvar-Fard, Mani; Bretl, Timothy";COMPUTING IN CIVIL ENGINEERING 2017: SMART SAFETY, SUSTAINABILITY, AND RESILIENCE;2017;WOS;N;;;;;;;;;;
An investigation into the driving factors of creativity in design for additive manufacturing;Barclift M., Simpson T.W., Nusiner M.A., Miller S.;Proceedings of the ASME Design Engineering Technical Conference;2017;SCOPUS;N;;;;;;;;;;
An MDA Approach for a Multi-Layered Satellite On-Board Software Architecture;"Dos Santos, W.A.; da Cunha, A.M.";Software Architecture, 2005. WICSA 2005. 5th Working IEEE/IFIP Conference on;2005;IEEE ;O;O;O;;;;;;;;
An MDE Based Approach for Generating Software Architecture Models from Formal Specifications;"Yi Zhu; Zhiqiu Huang; Zining Cao; Hang Zhou; Min Yuan";Quality Software (QSIC), 2010 10th International Conference on;2010;IEEE ;O;O;O;;;;;;;;
An MDE solution for the development of robotic device drivers;Conner Hansen, Eugene Syriani;Proceedings of the 51st ACM Southeast Conference;2013;ACM;X;X;X;X;X;X;O;O;O;O;YES
An Object Frame Knowledge Representation Approach for Fault Diagnosis Expert System;"Bailin Liu; Mingye Duan; Gang Zhao";Future Computer Sciences and Application (ICFCSA), 2011 International Conference on;2011;IEEE ;O;O;O;;;;;;;;
An Object Oriented Collaboration Flow Management System for Virtual Team Support;Jacques Lonchamp;OOIS '02: Proceedings of the 8th International Conference on Object-Oriented. Information Systems;2002  ;ACM;O;O;O;;;;;;;;
An object-oriented analysis and design model to implement controllers for quadrotor uavs by specializing MDA's features with hybrid automata and real-time UML;Diem P.G., Hien N.V., Khanh N.P.;WSEAS Transactions on Systems;2013;Scopus;X;X;X;X;X;X;O;O;O;O;YES
An Ode to Arrows;Liu, Hai and Hudak, Paul;Proceedings of the 12th International Conference on Practical Aspects of Declarative Languages;2010;ACM;O;O;O;;;;;;;;
An Ontology-based Approach to Improve the Accessibility of ROS-based Robotic Systems;Ilaria  Tiddi and Emanuele  Bastianelli and Gianluca  Bardaro and Mathieu  d'Aquin and Enrico  Motta;K-CAP 2017;2017;ACM;NO;;;;;;;;;;
An ontology-based collaborative service-oriented simulation framework with Microsoft Robotics Studio (R);"Tsai W;Sun X;Huang Q;Karatza H;";Simulation Modelling Practice and Theory;2008;WOS;O;O;O;;;;;;;;
An ontology-based condition analyzer for fault classification on railway vehicles;De Ambrosi C., Ghersi C., Tacchella A.;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);2009;Scopus;o;;;;;;;;;;
An Ontology-Based Product Architecture Derivation Approach;H. A. Duran-Limon C. A. Garcia-Rios F. E. Castillo-Barrera R. Capilla;IEEE Transactions on Software Engineering;2015;IEEE;o;o;;;;;;;x;;
An Ontology-Driven Architecture Approach for Open Multimedia Service Oriented Architectures;"Lamolle, M.; Leduc, C.; Menet, L.";Communication Theory, Reliability, and Quality of Service (CTRQ), 2010 Third International Conference on;2010;IEEE ;O;O;O;;;;;;;;
An ontology-driven technique for the architectural and detailed design of multi-agent frameworks;Girardi R., Lindoso A.N.;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);2006;Scopus;o;;;;;;;;;;
An Open Event-Driven Architecture for Reactive Programming and Lifecycle Management in Space-Based Middleware;"S. Cra√ü; E. K√ºhn; V. Sesum-Cavic; H. Watzke";2017 43rd Euromicro Conference on Software Engineering and Advanced Applications (SEAA);2017;IEEE;NO;;;;;;;;;;
An open event-driven architecture for reactive programming and lifecycle management in space-based middleware;Crab S., Kuhn E., Sesum-Cavic V., Watzke H.;Proceedings - 43rd Euromicro Conference on Software Engineering and Advanced Applications, SEAA 2017;2017;SCOPUS;N;;;;;;;;;;
An open service collaboration platform-architecture and development techniques;"Born, M.; Strick, L.";Applications and the Internet (SAINT) Workshops, 2002. Proceedings. 2002 Symposium on;2002;IEEE ;O;O;O;;;;;;;;
An Open-source Realtime Computational Platform (Short WIP Paper);Pavan  Mehrotra and Sabar  Dasgupta and Samantha  Robertson and Paul  Nuyujukian;LCTES 2018;2018;ACM;NO;;;;;;;;;;
An Ultrastable Crystal Oscillator for Beacons (Program SARSAT);"Stahl, A.; Brunet, M.";37th Annual Symposium on Frequency Control. 1983;1983;IEEE ;;;;;;;;;;X;
An Uncrewed Aerial Vehicle Attack Scenario and Trustworthy Repair Architecture;K. Highnam K. Angstadt K. Leach W. Weimer A. Paulos P. Hurley;2016 46th Annual IEEE/IFIP International Conference on Dependable Systems and Networks Workshop (DSN-W);2016;IEEE;;;;;;o;;x;;;
An unmanned helicopter for autonomous flights in urban terrain;Adolf F., Andert F., Lorenz S., Goormann L., Dittrich J.;Advances in Robotics Research: Theory, Implementation, Application;2009;Scopus;o;o;o;;;;;;;;
Analysing Meta-model Product Lines;Esther  Guerra and Juan  de Lara and Marsha  Chechik and Rick  Salay;SLE 2018;2018;ACM;No;;;;;;;;;;
Analysis and applications of timed service protocols;Ponge J., Benatallah B., Casati F., Toumani F.;ACM Transactions on Software Engineering and Methodology;2010;Scopus;O;O;O;;;;;;;;
Analysis and Design of High Integrated Low Noise Frequency Source in S Band;Hui  Cao and Yu  Qu and Zuxun  Song;ICSPS 2017;2017;ACM;NO;;;;;;;;;;
ANALYSIS OF A NON-AUTONOMOUS MUTUALISM MODEL DRIVEN BY LEVY JUMPS;"Li, Mei; Gao, Hongjun; Wang, Bingjun";J;2016;WOS;O;O;;;;;;;x;;
Analysis of a stochastic ratio-dependent predator–prey model driven by Lévy noise;"Bai, Ling; Li, Jingshi; Zhang, Kai & Zhao, Wenju";Applied Mathematics and Computation ;2014;ScienceDirect;O;O;O;;;;;;;;
Analysis of coordination modes for multi-UUV based on Model Driven Architecture;"T. Soriano; H. A. Pham; V. H. Ngo";2018 12th France-Japan and 10th Europe-Asia Congress on Mechatronics;2018;IEEE;No;;;;;;;;;;
Analysis of design strategies for unmanned aerial vehicles using co-simulation;de Sousa Barros J., Oliveira Freitas T., Nigam V., V. Brito A.;Design Automation for Embedded Systems;2017;SCOPUS;N;;;;;;;;;;
Analysis of Public Transportation Patterns in a Densely Populated City with Station-based Shared Bikes;Di  Wang and Evan  Wu and Ah-Hwee  Tan;ICCSE'18;2018;ACM;No;;;;;;;;;;
Analysis of the grasspea proteome and identification of stress-responsive proteins upon exposure to high salinity, low temperature, and abscisic acid treatment ;"Chattopadhyay, Arnab; Subba, Pratigya; Pandey, Aarti; Bhushan, Deepti; Kumar, Rajiv; Datta, Asis; Chakraborty, Subhra & Chakraborty, Niranjan";Phytochemistry ;2011;ScienceDirect;;;;;;;;;X;;
Analysis of Underwater Target Detection Probability by Using Autonomous Underwater Vehicles;Peng  Sun and Azzedine  Boukerche;Q2SWinet '17;2017;ACM;No;;;;;;;;;;
Analysis of Wake Vortex Spacing Reduction Technology;Jie-Jun  Zuo and Wei-Jun  Pan and Hai-Jun  Liang and Yan-An  Liang and Wen-Xiang  Deng;ICSRT '18;2018;ACM;NO;;;;;;;;;;
Analysis of Ways to Secure Group Control for Autonomous Mobile Robots;Alexander  Basan and Elena  Basan and Oleg  Makarevich;SIN '17;2017;ACM;No;;;;;;;;;;
Analytic Model of Powertrain Drive Cycle Efficiency, with Application to the US New Vehicle Fleet;Phlips, Patrick;J;2016;WOS;O;O;;;;;;;x;;
Analyzing ambient assisted living solutions: A research perspective;A. Kunnappilly A. Legay T. Margaria C. Seceleanu B. Steffen L. M. Traonouez;2017 12th International Conference on Design & Technology of Integrated Systems In Nanoscale Era (DTIS);2017;IEEE;o;o;;;;;x;;x;;
Analyzing ambient assisted living solutions: A research perspective;"A. Kunnappilly; A. Legay; T. Margaria; C. Seceleanu; B. Steffen; L. Traonouez";2017 12th International Conference on Design & Technology of Integrated Systems In Nanoscale Era (DTIS);2017;IEEE;NO;;;;;;;;;;
Analyzing ambient assisted living solutions: A research perspective;Kunnappilly A., Legay A., Margaria T., Seceleanu C., Steffen B., Traonouez L.-M.;Proceedings - 2017 12th IEEE International Conference on Design and Technology of Integrated Systems in Nanoscale Era, DTIS 2017;2017;SCOPUS;N;;;;;;;;;;
Analyzing Deception, Evolvability, and Behavioral Rarity in Evolutionary Robotics;Joel  Lehman;GECCO '17;2017;ACM;NO;;;;;;;;;;
ANTLAB: a multi-robot task server;"Gavran, Ivan, Rupak Majumdar, and Indranil Saha. """;"."" ACM Transactions on Embedded Computing Systems (TECS) 16.5s (2017): 190.";;ACM;;;;;;;;;;;
APPAREIL: A Tool for Building Automated Program Translators Using Annotated Grammars;"Ordonez Camacho, D.; Mens, K.";Automated Software Engineering, 2008. ASE 2008. 23rd IEEE/ACM International Conference on;2008;IEEE ;O;O;O;;;;;;;;
